observation_date,CPIAUCSL
2017-09-01,246.435
2017-10-01,246.626
2017-11-01,247.284
2017-12-01,247.805
2018-01-01,248.859
2018-02-01,249.529
2018-03-01,249.577
2018-04-01,250.227
2018-05-01,250.792
2018-06-01,251.018
2018-07-01,251.214
2018-08-01,251.663
2018-09-01,252.182
2018-10-01,252.772
2018-11-01,252.594
2018-12-01,252.767
2019-01-01,252.561
2019-02-01,253.319
2019-03-01,254.277
2019-04-01,255.233
2019-05-01,255.296
2019-06-01,255.213
2019-07-01,255.802
2019-08-01,256.036
2019-09-01,256.430
2019-10-01,257.155
2019-11-01,257.879
2019-12-01,258.630
2020-01-01,259.127
2020-02-01,259.250
2020-03-01,258.076
2020-04-01,256.032
2020-05-01,255.802
2020-06-01,257.042
2020-07-01,258.352
2020-08-01,259.316
2020-09-01,259.997
2020-10-01,260.319
2020-11-01,260.911
2020-12-01,262.045
2021-01-01,262.639
2021-02-01,263.573
2021-03-01,264.847
2021-04-01,266.625
2021-05-01,268.404
2021-06-01,270.710
2021-07-01,271.965
2021-08-01,272.752
2021-09-01,273.942
2021-10-01,276.528
2021-11-01,278.824
2021-12-01,280.806
2022-01-01,282.542
2022-02-01,284.525
2022-03-01,287.467
2022-04-01,288.582
2022-05-01,291.299
2022-06-01,295.072
2022-07-01,294.940
2022-08-01,295.162
2022-09-01,296.421
2022-10-01,297.979
2022-11-01,298.708
2022-12-01,298.808
2023-01-01,300.456
2023-02-01,301.476
2023-03-01,301.643
2023-04-01,302.858
2023-05-01,303.316
2023-06-01,304.099
2023-07-01,304.615
2023-08-01,306.138
2023-09-01,307.374
2023-10-01,307.653
2023-11-01,308.087
2023-12-01,308.735
